Timestamp,Posture,Face,Distance,Neck_Angle
1774692250.0398295,SIT UP STRAIGHT!,Frowning,0.35761404616561565,154.82434454314426
1774692260.0068192,Good Posture,Frowning,0,180
1774692270.0336652,SIT UP STRAIGHT!,Frowning,0.27597461930620615,144.40759861134532
1774692280.0021842,Good Posture,Neutral,0,180
1774692290.0225413,SIT UP STRAIGHT!,Frowning,0.3672234300761478,153.47640040416317
1774692300.054504,SIT UP STRAIGHT!,Frowning,0.3685440469019425,136.74956836503537
1774692310.040983,SIT UP STRAIGHT!,Frowning,0.3618777482660354,137.5296361559112
1774692320.043582,Good Posture,Frowning,0,180
1774692330.0220852,SIT UP STRAIGHT!,Frowning,0.32564766598316763,152.6752605166248
1774692340.0112374,Good Posture,Frowning,0.28629778091262886,166.9684718741711
1774692350.0460162,SIT UP STRAIGHT!,Frowning,0.38995946435265094,142.90944623412776
1774692360.0448167,SIT UP STRAIGHT!,Neutral,0.32730714379220543,134.81585417682078
1774692370.0197024,SIT UP STRAIGHT!,Frowning,0.31915631965289687,147.01332646541778
1774692380.0298455,Good Posture,Neutral,0,180
1774692390.0089483,SIT UP STRAIGHT!,Frowning,0.35159241221692494,158.1385466918442
1774692400.0325806,SIT UP STRAIGHT!,Frowning,0.34780502631362453,155.62849677182012
1774692410.0163825,SIT UP STRAIGHT!,Frowning,0.3425386697460555,158.4187528140715
1774692420.0546381,SIT UP STRAIGHT!,Frowning,0.35759451762100974,157.34966274162883
1774692430.065668,SIT UP STRAIGHT!,Frowning,0.34042185854494655,158.1062697687517
1774692440.012238,SIT UP STRAIGHT!,Frowning,0.3411357639306059,157.34478882369433
1774692450.0704272,SIT UP STRAIGHT!,Frowning,0.26575681193420586,163.43221494529197
1774692460.0160668,Good Posture,Neutral,0,180
1774692470.0233986,SIT UP STRAIGHT!,Frowning,0.33105333980065665,157.0321410459592
1774692480.0709174,SIT UP STRAIGHT!,Frowning,0.30811848376858597,157.1333144022988
1774692490.019377,SIT UP STRAIGHT!,Frowning,0.28376607140886534,158.383265935445
1774692500.0494602,SIT UP STRAIGHT!,Frowning,0.3175892923073504,154.9602807719558
1774692510.0115616,SIT UP STRAIGHT!,Frowning,0.33626996667055625,156.6111137005732
1774692520.0583072,SIT UP STRAIGHT!,Frowning,0.3341438253255431,148.81385296542166
1774692530.0514426,SIT UP STRAIGHT!,Frowning,0.33892203325967984,152.72080937095907
1774692540.0105104,SIT UP STRAIGHT!,Frowning,0.33037700443808515,151.79640760455425
1774692550.0135624,SIT UP STRAIGHT!,Frowning,0.34464592255204396,150.86745307877746
1774692560.062879,SIT UP STRAIGHT!,Frowning,0.3435078554522165,148.33805080963015
1774692570.0205655,SIT UP STRAIGHT!,Frowning,0.3150922462599216,156.50157423559273
1774692580.0411522,SIT UP STRAIGHT!,Frowning,0.31418831756943855,158.90706411603148
1774692590.056294,SIT UP STRAIGHT!,Frowning,0.3690574281786743,148.24458979332482
1774692600.0299237,SIT UP STRAIGHT!,Frowning,0.2896191471093577,158.3493867118023
1774692610.0245037,SIT UP STRAIGHT!,Frowning,0.34791528894392826,150.2469308010737
1774692620.0705037,SIT UP STRAIGHT!,Frowning,0.33007920634306304,150.3669603790053
1774692630.0604317,SIT UP STRAIGHT!,Frowning,0.3319215273644808,150.91418633957534
1774692640.0410042,SIT UP STRAIGHT!,Frowning,0.3222601692938041,148.48652934117024
1774692650.0062377,SIT UP STRAIGHT!,Frowning,0.33826594367417767,150.35198077117272
